DATETIME,IDENTIFIER,INFO,FILE,USER,LAB,VERSION,TAG1,TAG2,TAG3
"2013-08-16 11:40:43",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:40:43",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:42:26",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:43:29",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:43:31",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:43:31",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:43:33",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:43:34",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:43:35",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:43:36",reports,X,reports,53,127,2.5,X,X,X
"2013-08-16 11:44:58",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:44:59",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:44:59",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:45:06",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:45:06",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:45:11",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:45:11",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:45:22",search,X,search,53,127,2.5,X,X,X
"2013-08-16 11:47:17",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:47:17",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:47:34",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:47:48",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:47:49",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:47:50",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:47:53",reports,X,reports,53,127,2.5,X,X,X
"2013-08-16 11:47:55",backup_data_ui,X,backupDataUI.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:49:22",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:49:24",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:49:44",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:49:46",reports,X,reports,53,127,2.5,X,X,X
"2013-08-16 11:49:48",backup_data_ui,X,backupDataUI.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:50:00",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 11:50:01",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 11:50:09",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:50:19",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:50:19",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:50:28",search_p,op=1&qr=d,search_p,53,127,2.5,X,X,X
"2013-08-16 11:50:34",patient_profile,X,patient_profile.php?pid=3213,53,127,2.5,X,X,X
"2013-08-16 11:50:44",new_specimen,pid=3213&dnum=,new_specimen.php?pid=3213,53,127,2.5,X,X,X
"2013-08-16 11:51:42",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:51:42",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:51:47",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 11:51:53",catalog,X,catalog.php?show_s=1,53,127,2.5,X,X,X
"2013-08-16 11:51:55",test_type_new,X,test_type_new,53,127,2.5,X,X,X
"2013-08-16 11:52:07",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:52:07",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:52:18",search_p,op=1&qr=s,search_p,53,127,2.5,X,X,X
"2013-08-16 11:52:20",new_specimen,pid=12981&dnum=,new_specimen.php?pid=12981,53,127,2.5,X,X,X
"2013-08-16 11:56:29",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:56:29",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:57:41",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:57:41",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:57:52",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 11:57:52",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:05:49",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:05:49",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:09:58",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:09:58",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:11:30",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:11:30",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:00",search,X,search,53,127,2.5,X,X,X
"2013-08-16 12:16:03",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:03",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:06",search,X,search,53,127,2.5,X,X,X
"2013-08-16 12:16:07",reports,X,reports,53,127,2.5,X,X,X
"2013-08-16 12:16:10",view_stock,X,view_stock,53,127,2.5,X,X,X
"2013-08-16 12:16:48",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:48",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:51",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:51",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:54",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:16:54",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:17:28",search,X,search,53,127,2.5,X,X,X
"2013-08-16 12:17:30",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:17:30",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:17:35",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:17:35",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:18:16",find_patient,X,find_patient,53,127,2.5,X,X,X
"2013-08-16 12:18:16",new_patient,qr=,find_patient,53,127,2.5,X,X,X
"2013-08-16 13:29:35",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 13:29:36",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 13:29:44",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 13:29:45",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 13:29:47",catalog,X,catalog,53,127,2.5,X,X,X
"2013-08-16 13:29:50",reports,X,reports,53,127,2.5,X,X,X
"2013-08-16 13:29:52",backup_data_ui,X,backupDataUI.php?id=127,53,127,2.5,X,X,X
"2013-08-16 14:44:37",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 14:44:39",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-16 14:44:50",lab_config_home,X,lab_config_home.php?id=126,53,127,2.5,X,X,X
"2013-08-16 14:44:56",lab_config_home,X,lab_config_home.php?id=127,53,127,2.5,X,X,X
"2013-08-16 14:44:57",view_stocks,X,view_stocks,53,127,2.5,X,X,X
"2013-08-17 13:55:46",reports,X,reports,123,-1,2.5,X,X,X
"2013-08-17 14:03:21",find_patient,X,find_patient,63,126,2.5,X,X,X
"2013-08-17 14:03:21",new_patient,qr=,find_patient,63,126,2.5,X,X,X
"2013-08-17 14:03:33",search,X,search,63,126,2.5,X,X,X
"2013-08-17 14:03:40",reports,X,reports,63,126,2.5,X,X,X
"2013-08-17 14:03:42",view_stock,X,view_stock,63,126,2.5,X,X,X
"2013-08-17 14:03:47",find_patient,X,find_patient,63,126,2.5,X,X,X
"2013-08-17 14:03:47",new_patient,qr=,find_patient,63,126,2.5,X,X,X
"2013-08-17 14:36:34",search,X,search,63,126,2.5,X,X,X
"2013-08-17 14:36:37",reports,X,reports,63,126,2.5,X,X,X
